MusterCallsDate,MobilizatonSymbol,Countycode,RegistrationAddress,RecallUnit
20210508,精誠甲字230306,10005,苗栗縣頭份鎮斗煥里1991號,斗煥坪營區
20210508,精誠甲字230103,10002,宜蘭縣宜蘭市建軍路46號,金六結營區
20210508,大業甲字240301,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區
20210508,大業甲字240106,64000,高雄市左營區世運大道3號,南勝利營區
20210508,大業甲字240309,10013,屏東縣內埔鄉龍泉村中勝路415號,龍泉營區
20210508,博愛甲字251407,66000,臺中市烏日區里中山路三段502號,成功嶺營區
20210508,博愛甲字221107,65000,新北市淡水區中正路二段53號,忠莊營區
20210508,博愛甲字222100,65000,新北市淡水區中正路二段53號,忠莊營區
20210508,博愛甲字130400,65000,新北市土城區仁愛路23號,仁愛營區
20210508,忠貞甲字230700,68000,桃園市龜山區公西里文三一街501號,慧敏營區
20210508,忠貞甲字250100,66000,臺中市大雅區中清路五段2號,硬漢營區
20210508,忠貞甲字230300,68000,桃園市龜山區公西里文三一街501號,慧敏營區
20210510,博愛甲字942020,10013,屏東縣屏東市建國路239號,大東營區
20210510,博愛甲字942022,10013,屏東縣屏東市建國路239號,大東營區
20210510,博愛甲字942023,10013,屏東縣屏東市建國路239號,大東營區
20210511,博愛甲字943014,10013,屏東縣屏東市建國路239號,大東營區
20210511,仁愛甲字942005,64000,高雄市田寮區南安村崗安路10066號,虎嘯基地
20210511,仁愛甲字933011,65000,新北市泰山區明志路三段354號,神箭基地
20210511,精誠甲字953031,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210512,精誠甲字951002,10010,嘉義縣水上鄉三鎮村三鎮路2之20號,南靖營區
20210512,精誠甲字923013,10015,花蓮市府前路25號,美崙營區
20210512,精誠甲字932023,10004,新竹縣湖口鄉勝利路二段358號,湖口四營區
20210512,博愛甲字943015,10013,屏東縣屏東市建國路239號,大東營區
20210514,忠貞甲字933002,68000,桃園市龜山區公西里文三一街501號,慧敏營區
20210515,忠貞甲字130600,10018,新竹市東區建功一路55號,建功營區
20210515,忠貞甲字230204,68000,桃園市龜山區公西里文三一街501號,慧敏營區
20210515,博愛甲字211201,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210515,博愛甲字211206,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210515,博愛甲字211207,10013,屏東縣枋寮鄉新開村忠誠路1號,新開營區
20210515,博愛甲字231203,65000,新北市淡水區中正路二段53號,忠莊營區
20210515,博愛甲字251103,66000,臺中市烏日區中山路三段502號,成功嶺營區
20210515,精誠甲字250307,66000,臺中市烏日區學田路719號,成功嶺營區
20210515,精誠甲字250310,66000,臺中市烏日區學田路719號,成功嶺營區
20210515,精誠甲字231702,10004,新竹縣湖口鄉鳳山村勝利路二段358號,湖口四營區
20210517,博愛甲字943016,10013,屏東縣屏東市建國路239號,大東營區
20210518,博愛甲字943012,10013,屏東縣屏東市建國路239號,大東營區
20210518,忠貞甲字933001,68000,桃園市龜山區公西里文三一街501號,慧敏營區
20210518,精誠甲字932009,68000,桃園市平鎮區陸光路14巷300號,雙連坡營區
20210519,博愛甲字943013,10013,屏東縣屏東市建國路239號,大東營區
20210520,忠貞甲字932001,68000,桃園市龜山區公西里文31街501號,慧敏營區
20210521,忠貞甲字952004,66000,臺中市大雅區中清路五段2號,硬漢營區
20210521,精誠甲字953022,66000,臺中市和平區東關路一段岳武巷5號,麗陽營區
20210522,精誠甲字241006,64000,高雄市鳳山區鳳頂路1000號,金湯營區
20210522,精誠甲字250104,66000,台中市和平區東關路一段岳武巷5號,麗陽營區
